ts,strategy,event
2025-07-24T01:39:01.9996237Z,DripFlipStrategy,1
2025-07-24T01:39:21.9996237Z,DripFlipStrategy,0
2025-07-24T01:40:01.9996237Z,LadderLiftStrategy,1
2025-07-24T01:40:21.9996237Z,LadderLiftStrategy,0
2025-07-24T01:41:01.9996237Z,DripFlipStrategy,1
2025-07-24T01:41:01.9996237Z,LadderLiftStrategy,1
2025-07-24T01:41:21.9996237Z,DripFlipStrategy,0
2025-07-24T01:41:21.9996237Z,LadderLiftStrategy,0
