ts,strategy,event
2025-07-24T02:20:08.9165429Z,DripFlipStrategy,1
2025-07-24T02:20:28.9165429Z,DripFlipStrategy,0
2025-07-24T02:21:08.9165429Z,LadderLiftStrategy,1
2025-07-24T02:21:28.9165429Z,LadderLiftStrategy,0
2025-07-24T02:22:08.9165429Z,DripFlipStrategy,1
2025-07-24T02:22:08.9165429Z,LadderLiftStrategy,1
2025-07-24T02:22:28.9165429Z,DripFlipStrategy,0
2025-07-24T02:22:28.9165429Z,LadderLiftStrategy,0
