ts,strategy,event
2025-07-24T02:26:32.7392953Z,DripFlipStrategy,1
2025-07-24T02:26:52.7392953Z,DripFlipStrategy,0
2025-07-24T02:27:32.7392953Z,LadderLiftStrategy,1
2025-07-24T02:27:52.7392953Z,LadderLiftStrategy,0
2025-07-24T02:28:32.7392953Z,DripFlipStrategy,1
2025-07-24T02:28:32.7392953Z,LadderLiftStrategy,1
2025-07-24T02:28:52.7392953Z,DripFlipStrategy,0
2025-07-24T02:28:52.7392953Z,LadderLiftStrategy,0
